name	description	page
174	ensembl_transcript_id_version	Transcript stable ID version	homologs
175	transcript_version	Version (transcript)	homologs
176	ensembl_peptide_id	Protein stable ID	homologs
177	ensembl_peptide_id_version	Protein stable ID version	homologs
178	peptide_version	Version (protein)	homologs
179	chromosome_name	Chromosome/scaffold name	homologs
180	start_position	Gene start (bp)	homologs
181	end_position	Gene end (bp)	homologs
182	strand	Strand	homologs
183	band	Karyotype band	homologs
184	external_gene_name	Gene name	homologs
185	external_gene_source	Source of gene name	homologs
186	transcript_count	Transcript count	homologs
187	percentage_gene_gc_content	Gene % GC content	homologs
188	description	Gene description	homologs
189	cabingdonii_homolog_ensembl_gene	Abingdon island giant tortoise gene stable ID	homologs
190	cabingdonii_homolog_associated_gene_name	Abingdon island giant tortoise gene name	homologs
191	cabingdonii_homolog_ensembl_peptide	Abingdon island giant tortoise protein or transcript stable ID	homologs
192	cabingdonii_homolog_chromosome	Abingdon island giant tortoise chromosome/scaffold name	homologs
193	cabingdonii_homolog_chrom_start	Abingdon island giant tortoise chromosome/scaffold start (bp)	homologs
194	cabingdonii_homolog_chrom_end	Abingdon island giant tortoise chromosome/scaffold end (bp)	homologs
195	cabingdonii_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
196	cabingdonii_homolog_subtype	Last common ancestor with Abingdon island giant tortoise	homologs
197	cabingdonii_homolog_orthology_type	Abingdon island giant tortoise homology type	homologs
198	cabingdonii_homolog_perc_id	%id. target Abingdon island giant tortoise gene identical to query gene	homologs
199	cabingdonii_homolog_perc_id_r1	%id. query gene identical to target Abingdon island giant tortoise gene	homologs
200	cabingdonii_homolog_goc_score	Abingdon island giant tortoise Gene-order conservation score	homologs
201	cabingdonii_homolog_orthology_confidence	Abingdon island giant tortoise orthology confidence [0 low, 1 high]	homologs
202	scaustralis_homolog_ensembl_gene	African ostrich gene stable ID	homologs
203	scaustralis_homolog_associated_gene_name	African ostrich gene name	homologs
204	scaustralis_homolog_ensembl_peptide	African ostrich protein or transcript stable ID	homologs
205	scaustralis_homolog_chromosome	African ostrich chromosome/scaffold name	homologs
206	scaustralis_homolog_chrom_start	African ostrich chromosome/scaffold start (bp)	homologs
207	scaustralis_homolog_chrom_end	African ostrich chromosome/scaffold end (bp)	homologs
208	scaustralis_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
209	scaustralis_homolog_subtype	Last common ancestor with African ostrich	homologs
210	scaustralis_homolog_orthology_type	African ostrich homology type	homologs
211	scaustralis_homolog_perc_id	%id. target African ostrich gene identical to query gene	homologs
212	scaustralis_homolog_perc_id_r1	%id. query gene identical to target African ostrich gene	homologs
213	scaustralis_homolog_goc_score	African ostrich Gene-order conservation score	homologs
214	scaustralis_homolog_orthology_confidence	African ostrich orthology confidence [0 low, 1 high]	homologs
215	mspretus_homolog_ensembl_gene	Algerian mouse gene stable ID	homologs
216	mspretus_homolog_associated_gene_name	Algerian mouse gene name	homologs
217	mspretus_homolog_ensembl_peptide	Algerian mouse protein or transcript stable ID	homologs
218	mspretus_homolog_chromosome	Algerian mouse chromosome/scaffold name	homologs
219	mspretus_homolog_chrom_start	Algerian mouse chromosome/scaffold start (bp)	homologs
220	mspretus_homolog_chrom_end	Algerian mouse chromosome/scaffold end (bp)	homologs
221	mspretus_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
222	mspretus_homolog_subtype	Last common ancestor with Algerian mouse	homologs
223	mspretus_homolog_orthology_type	Algerian mouse homology type	homologs
224	mspretus_homolog_perc_id	%id. target Algerian mouse gene identical to query gene	homologs
225	mspretus_homolog_perc_id_r1	%id. query gene identical to target Algerian mouse gene	homologs
226	mspretus_homolog_goc_score	Algerian mouse Gene-order conservation score	homologs
227	mspretus_homolog_wga_coverage	Algerian mouse Whole-genome alignment coverage	homologs
228	mspretus_homolog_orthology_confidence	Algerian mouse orthology confidence [0 low, 1 high]	homologs
229	vpacos_homolog_ensembl_gene	Alpaca gene stable ID	homologs
230	vpacos_homolog_associated_gene_name	Alpaca gene name	homologs
231	vpacos_homolog_ensembl_peptide	Alpaca protein or transcript stable ID	homologs
232	vpacos_homolog_chromosome	Alpaca chromosome/scaffold name	homologs
233	vpacos_homolog_chrom_start	Alpaca chromosome/scaffold start (bp)	homologs
234	vpacos_homolog_chrom_end	Alpaca chromosome/scaffold end (bp)	homologs
235	vpacos_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
236	vpacos_homolog_subtype	Last common ancestor with Alpaca	homologs
237	vpacos_homolog_orthology_type	Alpaca homology type	homologs
238	vpacos_homolog_perc_id	%id. target Alpaca gene identical to query gene	homologs
239	vpacos_homolog_perc_id_r1	%id. query gene identical to target Alpaca gene	homologs
240	vpacos_homolog_goc_score	Alpaca Gene-order conservation score	homologs
241	vpacos_homolog_orthology_confidence	Alpaca orthology confidence [0 low, 1 high]	homologs
242	mmmarmota_homolog_ensembl_gene	Alpine marmot gene stable ID	homologs
243	mmmarmota_homolog_associated_gene_name	Alpine marmot gene name	homologs
244	mmmarmota_homolog_ensembl_peptide	Alpine marmot protein or transcript stable ID	homologs
245	mmmarmota_homolog_chromosome	Alpine marmot chromosome/scaffold name	homologs
246	mmmarmota_homolog_chrom_start	Alpine marmot chromosome/scaffold start (bp)	homologs
247	mmmarmota_homolog_chrom_end	Alpine marmot chromosome/scaffold end (bp)	homologs
248	mmmarmota_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
249	mmmarmota_homolog_subtype	Last common ancestor with Alpine marmot	homologs
250	mmmarmota_homolog_orthology_type	Alpine marmot homology type	homologs
251	mmmarmota_homolog_perc_id	%id. target Alpine marmot gene identical to query gene	homologs
252	mmmarmota_homolog_perc_id_r1	%id. query gene identical to target Alpine marmot gene	homologs
253	mmmarmota_homolog_goc_score	Alpine marmot Gene-order conservation score	homologs
254	mmmarmota_homolog_wga_coverage	Alpine marmot Whole-genome alignment coverage	homologs
255	mmmarmota_homolog_orthology_confidence	Alpine marmot orthology confidence [0 low, 1 high]	homologs
256	pformosa_homolog_ensembl_gene	Amazon molly gene stable ID	homologs
257	pformosa_homolog_associated_gene_name	Amazon molly gene name	homologs
258	pformosa_homolog_ensembl_peptide	Amazon molly protein or transcript stable ID	homologs
259	pformosa_homolog_chromosome	Amazon molly chromosome/scaffold name	homologs
260	pformosa_homolog_chrom_start	Amazon molly chromosome/scaffold start (bp)	homologs
261	pformosa_homolog_chrom_end	Amazon molly chromosome/scaffold end (bp)	homologs
262	pformosa_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
263	pformosa_homolog_subtype	Last common ancestor with Amazon molly	homologs
264	pformosa_homolog_orthology_type	Amazon molly homology type	homologs
265	pformosa_homolog_perc_id	%id. target Amazon molly gene identical to query gene	homologs
266	pformosa_homolog_perc_id_r1	%id. query gene identical to target Amazon molly gene	homologs
267	pformosa_homolog_goc_score	Amazon molly Gene-order conservation score	homologs
268	pformosa_homolog_orthology_confidence	Amazon molly orthology confidence [0 low, 1 high]	homologs
269	bbbison_homolog_ensembl_gene	American bison gene stable ID	homologs
270	bbbison_homolog_associated_gene_name	American bison gene name	homologs
271	bbbison_homolog_ensembl_peptide	American bison protein or transcript stable ID	homologs
272	bbbison_homolog_chromosome	American bison chromosome/scaffold name	homologs
273	bbbison_homolog_chrom_start	American bison chromosome/scaffold start (bp)	homologs
274	bbbison_homolog_chrom_end	American bison chromosome/scaffold end (bp)	homologs
275	bbbison_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
276	bbbison_homolog_subtype	Last common ancestor with American bison	homologs
277	bbbison_homolog_orthology_type	American bison homology type	homologs
278	bbbison_homolog_perc_id	%id. target American bison gene identical to query gene	homologs
279	bbbison_homolog_perc_id_r1	%id. query gene identical to target American bison gene	homologs
280	bbbison_homolog_goc_score	American bison Gene-order conservation score	homologs
281	bbbison_homolog_orthology_confidence	American bison orthology confidence [0 low, 1 high]	homologs
282	uamericanus_homolog_ensembl_gene	American black bear gene stable ID	homologs
283	uamericanus_homolog_associated_gene_name	American black bear gene name	homologs
284	uamericanus_homolog_ensembl_peptide	American black bear protein or transcript stable ID	homologs
285	uamericanus_homolog_chromosome	American black bear chromosome/scaffold name	homologs
286	uamericanus_homolog_chrom_start	American black bear chromosome/scaffold start (bp)	homologs
287	uamericanus_homolog_chrom_end	American black bear chromosome/scaffold end (bp)	homologs
288	uamericanus_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
289	uamericanus_homolog_subtype	Last common ancestor with American black bear	homologs
290	uamericanus_homolog_orthology_type	American black bear homology type	homologs
291	uamericanus_homolog_perc_id	%id. target American black bear gene identical to query gene	homologs
292	uamericanus_homolog_perc_id_r1	%id. query gene identical to target American black bear gene	homologs
293	uamericanus_homolog_goc_score	American black bear Gene-order conservation score	homologs
294	uamericanus_homolog_orthology_confidence	American black bear orthology confidence [0 low, 1 high]	homologs
295	nvison_homolog_ensembl_gene	American mink gene stable ID	homologs
296	nvison_homolog_associated_gene_name	American mink gene name	homologs
297	nvison_homolog_ensembl_peptide	American mink protein or transcript stable ID	homologs
298	nvison_homolog_chromosome	American mink chromosome/scaffold name	homologs
299	nvison_homolog_chrom_start	American mink chromosome/scaffold start (bp)	homologs
300	nvison_homolog_chrom_end	American mink chromosome/scaffold end (bp)	homologs
301	nvison_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
302	nvison_homolog_subtype	Last common ancestor with American mink	homologs
303	nvison_homolog_orthology_type	American mink homology type	homologs
304	nvison_homolog_perc_id	%id. target American mink gene identical to query gene	homologs
305	nvison_homolog_perc_id_r1	%id. query gene identical to target American mink gene	homologs
306	nvison_homolog_goc_score	American mink Gene-order conservation score	homologs
307	nvison_homolog_orthology_confidence	American mink orthology confidence [0 low, 1 high]	homologs
308	acarolinensis_homolog_ensembl_gene	Anole lizard gene stable ID	homologs
309	acarolinensis_homolog_associated_gene_name	Anole lizard gene name	homologs
310	acarolinensis_homolog_ensembl_peptide	Anole lizard protein or transcript stable ID	homologs
311	acarolinensis_homolog_chromosome	Anole lizard chromosome/scaffold name	homologs
312	acarolinensis_homolog_chrom_start	Anole lizard chromosome/scaffold start (bp)	homologs
313	acarolinensis_homolog_chrom_end	Anole lizard chromosome/scaffold end (bp)	homologs
314	acarolinensis_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
315	acarolinensis_homolog_subtype	Last common ancestor with Anole lizard	homologs
316	acarolinensis_homolog_orthology_type	Anole lizard homology type	homologs
317	acarolinensis_homolog_perc_id	%id. target Anole lizard gene identical to query gene	homologs
318	acarolinensis_homolog_perc_id_r1	%id. query gene identical to target Anole lizard gene	homologs
319	acarolinensis_homolog_goc_score	Anole lizard Gene-order conservation score	homologs
320	acarolinensis_homolog_orthology_confidence	Anole lizard orthology confidence [0 low, 1 high]	homologs
321	cdromedarius_homolog_ensembl_gene	Arabian camel gene stable ID	homologs
322	cdromedarius_homolog_associated_gene_name	Arabian camel gene name	homologs
323	cdromedarius_homolog_ensembl_peptide	Arabian camel protein or transcript stable ID	homologs
324	cdromedarius_homolog_chromosome	Arabian camel chromosome/scaffold name	homologs
325	cdromedarius_homolog_chrom_start	Arabian camel chromosome/scaffold start (bp)	homologs
326	cdromedarius_homolog_chrom_end	Arabian camel chromosome/scaffold end (bp)	homologs
327	cdromedarius_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
328	cdromedarius_homolog_subtype	Last common ancestor with Arabian camel	homologs
329	cdromedarius_homolog_orthology_type	Arabian camel homology type	homologs
330	cdromedarius_homolog_perc_id	%id. target Arabian camel gene identical to query gene	homologs
331	cdromedarius_homolog_perc_id_r1	%id. query gene identical to target Arabian camel gene	homologs
332	cdromedarius_homolog_goc_score	Arabian camel Gene-order conservation score	homologs
333	cdromedarius_homolog_wga_coverage	Arabian camel Whole-genome alignment coverage	homologs
334	cdromedarius_homolog_orthology_confidence	Arabian camel orthology confidence [0 low, 1 high]	homologs
335	uparryii_homolog_ensembl_gene	Arctic ground squirrel gene stable ID	homologs
336	uparryii_homolog_associated_gene_name	Arctic ground squirrel gene name	homologs
337	uparryii_homolog_ensembl_peptide	Arctic ground squirrel protein or transcript stable ID	homologs
338	uparryii_homolog_chromosome	Arctic ground squirrel chromosome/scaffold name	homologs
339	uparryii_homolog_chrom_start	Arctic ground squirrel chromosome/scaffold start (bp)	homologs
340	uparryii_homolog_chrom_end	Arctic ground squirrel chromosome/scaffold end (bp)	homologs
341	uparryii_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
342	uparryii_homolog_subtype	Last common ancestor with Arctic ground squirrel	homologs
343	uparryii_homolog_orthology_type	Arctic ground squirrel homology type	homologs
344	uparryii_homolog_perc_id	%id. target Arctic ground squirrel gene identical to query gene	homologs
345	uparryii_homolog_perc_id_r1	%id. query gene identical to target Arctic ground squirrel gene	homologs
346	uparryii_homolog_goc_score	Arctic ground squirrel Gene-order conservation score	homologs
347	uparryii_homolog_orthology_confidence	Arctic ground squirrel orthology confidence [0 low, 1 high]	homologs
348	smerianae_homolog_ensembl_gene	Argentine black and white tegu gene stable ID	homologs
349	smerianae_homolog_associated_gene_name	Argentine black and white tegu gene name	homologs
350	smerianae_homolog_ensembl_peptide	Argentine black and white tegu protein or transcript stable ID	homologs
351	smerianae_homolog_chromosome	Argentine black and white tegu chromosome/scaffold name	homologs
352	smerianae_homolog_chrom_start	Argentine black and white tegu chromosome/scaffold start (bp)	homologs
353	smerianae_homolog_chrom_end	Argentine black and white tegu chromosome/scaffold end (bp)	homologs
354	smerianae_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
355	smerianae_homolog_subtype	Last common ancestor with Argentine black and white tegu	homologs
356	smerianae_homolog_orthology_type	Argentine black and white tegu homology type	homologs
357	smerianae_homolog_perc_id	%id. target Argentine black and white tegu gene identical to query gene	homologs
358	smerianae_homolog_perc_id_r1	%id. query gene identical to target Argentine black and white tegu gene	homologs
359	smerianae_homolog_goc_score	Argentine black and white tegu Gene-order conservation score	homologs
360	smerianae_homolog_orthology_confidence	Argentine black and white tegu orthology confidence [0 low, 1 high]	homologs
361	dnovemcinctus_homolog_ensembl_gene	Armadillo gene stable ID	homologs
362	dnovemcinctus_homolog_associated_gene_name	Armadillo gene name	homologs
363	dnovemcinctus_homolog_ensembl_peptide	Armadillo protein or transcript stable ID	homologs
364	dnovemcinctus_homolog_chromosome	Armadillo chromosome/scaffold name	homologs
365	dnovemcinctus_homolog_chrom_start	Armadillo chromosome/scaffold start (bp)	homologs
366	dnovemcinctus_homolog_chrom_end	Armadillo chromosome/scaffold end (bp)	homologs
367	dnovemcinctus_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
368	dnovemcinctus_homolog_subtype	Last common ancestor with Armadillo	homologs
369	dnovemcinctus_homolog_orthology_type	Armadillo homology type	homologs
370	dnovemcinctus_homolog_perc_id	%id. target Armadillo gene identical to query gene	homologs
371	dnovemcinctus_homolog_perc_id_r1	%id. query gene identical to target Armadillo gene	homologs
372	dnovemcinctus_homolog_goc_score	Armadillo Gene-order conservation score	homologs
373	dnovemcinctus_homolog_orthology_confidence	Armadillo orthology confidence [0 low, 1 high]	homologs
374	sformosus_homolog_ensembl_gene	Asian bonytongue gene stable ID	homologs
375	sformosus_homolog_associated_gene_name	Asian bonytongue gene name	homologs
376	sformosus_homolog_ensembl_peptide	Asian bonytongue protein or transcript stable ID	homologs
377	sformosus_homolog_chromosome	Asian bonytongue chromosome/scaffold name	homologs
378	sformosus_homolog_chrom_start	Asian bonytongue chromosome/scaffold start (bp)	homologs
379	sformosus_homolog_chrom_end	Asian bonytongue chromosome/scaffold end (bp)	homologs
380	sformosus_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
381	sformosus_homolog_subtype	Last common ancestor with Asian bonytongue	homologs
382	sformosus_homolog_orthology_type	Asian bonytongue homology type	homologs
383	sformosus_homolog_perc_id	%id. target Asian bonytongue gene identical to query gene	homologs
384	sformosus_homolog_perc_id_r1	%id. query gene identical to target Asian bonytongue gene	homologs
385	sformosus_homolog_goc_score	Asian bonytongue Gene-order conservation score	homologs
386	sformosus_homolog_orthology_confidence	Asian bonytongue orthology confidence [0 low, 1 high]	homologs
387	gmorhua_homolog_ensembl_gene	Atlantic cod gene stable ID	homologs
388	gmorhua_homolog_associated_gene_name	Atlantic cod gene name	homologs
389	gmorhua_homolog_ensembl_peptide	Atlantic cod protein or transcript stable ID	homologs
390	gmorhua_homolog_chromosome	Atlantic cod chromosome/scaffold name	homologs
391	gmorhua_homolog_chrom_start	Atlantic cod chromosome/scaffold start (bp)	homologs
392	gmorhua_homolog_chrom_end	Atlantic cod chromosome/scaffold end (bp)	homologs
393	gmorhua_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
394	gmorhua_homolog_subtype	Last common ancestor with Atlantic cod	homologs
395	gmorhua_homolog_orthology_type	Atlantic cod homology type	homologs
396	gmorhua_homolog_perc_id	%id. target Atlantic cod gene identical to query gene	homologs
397	gmorhua_homolog_perc_id_r1	%id. query gene identical to target Atlantic cod gene	homologs
398	gmorhua_homolog_goc_score	Atlantic cod Gene-order conservation score	homologs
399	gmorhua_homolog_orthology_confidence	Atlantic cod orthology confidence [0 low, 1 high]	homologs
400	charengus_homolog_ensembl_gene	Atlantic herring gene stable ID	homologs
401	charengus_homolog_associated_gene_name	Atlantic herring gene name	homologs
402	charengus_homolog_ensembl_peptide	Atlantic herring protein or transcript stable ID	homologs
403	charengus_homolog_chromosome	Atlantic herring chromosome/scaffold name	homologs
404	charengus_homolog_chrom_start	Atlantic herring chromosome/scaffold start (bp)	homologs
405	charengus_homolog_chrom_end	Atlantic herring chromosome/scaffold end (bp)	homologs
406	charengus_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
407	charengus_homolog_subtype	Last common ancestor with Atlantic herring	homologs
408	charengus_homolog_orthology_type	Atlantic herring homology type	homologs
409	charengus_homolog_perc_id	%id. target Atlantic herring gene identical to query gene	homologs
410	charengus_homolog_perc_id_r1	%id. query gene identical to target Atlantic herring gene	homologs
411	charengus_homolog_goc_score	Atlantic herring Gene-order conservation score	homologs
412	charengus_homolog_orthology_confidence	Atlantic herring orthology confidence [0 low, 1 high]	homologs
413	ssalar_homolog_ensembl_gene	Atlantic salmon gene stable ID	homologs
414	ssalar_homolog_associated_gene_name	Atlantic salmon gene name	homologs
415	ssalar_homolog_ensembl_peptide	Atlantic salmon protein or transcript stable ID	homologs
416	ssalar_homolog_chromosome	Atlantic salmon chromosome/scaffold name	homologs
417	ssalar_homolog_chrom_start	Atlantic salmon chromosome/scaffold start (bp)	homologs
418	ssalar_homolog_chrom_end	Atlantic salmon chromosome/scaffold end (bp)	homologs
419	ssalar_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
420	ssalar_homolog_subtype	Last common ancestor with Atlantic salmon	homologs
421	ssalar_homolog_orthology_type	Atlantic salmon homology type	homologs
422	ssalar_homolog_perc_id	%id. target Atlantic salmon gene identical to query gene	homologs
423	ssalar_homolog_perc_id_r1	%id. query gene identical to target Atlantic salmon gene	homologs
424	ssalar_homolog_goc_score	Atlantic salmon Gene-order conservation score	homologs
425	ssalar_homolog_orthology_confidence	Atlantic salmon orthology confidence [0 low, 1 high]	homologs
426	cporosus_homolog_ensembl_gene	Australian saltwater crocodile gene stable ID	homologs
427	cporosus_homolog_associated_gene_name	Australian saltwater crocodile gene name	homologs
428	cporosus_homolog_ensembl_peptide	Australian saltwater crocodile protein or transcript stable ID	homologs
429	cporosus_homolog_chromosome	Australian saltwater crocodile chromosome/scaffold name	homologs
430	cporosus_homolog_chrom_start	Australian saltwater crocodile chromosome/scaffold start (bp)	homologs
431	cporosus_homolog_chrom_end	Australian saltwater crocodile chromosome/scaffold end (bp)	homologs
432	cporosus_homolog_canonical_transcript_protein	Query protein or transcript ID	homologs
433	cporosus_homolog_subtype	Last common ancestor with Australian saltwater crocodile	homologs
434	cporosus_homolog_orthology_type	Australian saltwater crocodile homology type	homologs
435	cporosus_homolog_perc_id	%id. target Australian saltwater crocodile gene identical to query gene	homologs
